gene	knum
gene_311	K25105
gene_312	K25104
gene_313	K25103
gene_314	K25102
gene_315	K25101
gene_316	K25100
gene_317	K25099
gene_318	K25098
gene_319	K25097
gene_320	K25096
gene_321	K25095
gene_322	K25094
gene_323	K25093
gene_324	K25092
gene_325	K25091
gene_326	K25090
gene_327	K25089
gene_328	K25088
gene_329	K25087
gene_330	K25086
gene_331	K25085
gene_332	K25084
gene_333	K25083
gene_334	K25082
gene_335	K25081
gene_336	K25080
gene_337	K25079
gene_338	K25078
gene_339	K25077
gene_340	K25076
gene_341	K25075
gene_342	K25074
gene_343	K25073
gene_344	K25072
gene_345	K25071
gene_346	K25070
gene_347	K25069
gene_348	K25068
gene_349	K25067
gene_350	K25066
gene_351	K25065
gene_352	K25064
gene_353	K25063
gene_354	K25062
gene_355	K25061
gene_356	K25060
gene_357	K25059
gene_358	K25058
gene_359	K25057
gene_360	K25056
gene_361	K25055
gene_362	K25054
gene_363	K25053
gene_364	K25052
gene_365	K25051
gene_366	K25050
gene_367	K25049
gene_368	K25048
gene_369	K25047
gene_370	K25046
gene_371	K25045
gene_372	K25044
gene_373	K25043
gene_374	K25042
gene_375	K25041
gene_376	K25040
gene_377	K25039
gene_378	K25038
gene_379	K25037
gene_380	K25036
gene_381	K25035
gene_382	K25034
gene_383	K25033
gene_384	K25032
gene_385	K25031
gene_386	K25030
gene_387	K25029
gene_388	K25028
gene_389	K25027
gene_390	K25026
gene_391	K25025
gene_392	K25024
gene_393	K25023
gene_394	K25022
gene_395	K25021
gene_396	K25020
gene_397	K25019
gene_398	K25018
gene_399	K25017
gene_400	K25016
gene_401	K25015
gene_402	K25014
gene_403	K25013
gene_404	K25012
gene_405	K25011
gene_406	K25010
gene_407	K25009
gene_408	K25008
gene_409	K25007
gene_410	K25006
gene_411	K25005
gene_412	K25004
gene_413	K25003
gene_414	K25002
gene_415	K25001
gene_416	K25000
gene_417	K24999
gene_418	K24998
gene_419	K24997
gene_420	K24996
gene_421	K24995
gene_422	K24994
gene_423	K24993
gene_424	K24992
gene_425	K24991
gene_426	K24990
gene_427	K24989
gene_428	K24988
gene_429	K24987
gene_430	K24986
gene_431	K24985
gene_432	K24984
gene_433	K24983
gene_434	K24982
gene_435	K24981
gene_436	K24980
gene_437	K24979
gene_438	K24978
gene_439	K24977
gene_440	K24976
gene_441	K24975
gene_442	K24974
gene_443	K24973
gene_444	K24972
gene_445	K24971
gene_446	K24970
gene_447	K24969
gene_448	K24968
gene_449	K24967
gene_450	K24966
gene_451	K24965
gene_452	K24964
gene_453	K24963
gene_454	K24962
gene_455	K24961
gene_456	K24960
gene_457	K24959
gene_458	K24958
gene_459	K24957
gene_460	K24956
gene_461	K24955
gene_462	K24954
gene_463	K24953
gene_464	K24952
gene_465	K24951
gene_466	K24950
gene_467	K24949
gene_468	K24948
gene_469	K24947
gene_470	K24946
gene_471	K24945
gene_472	K24944
gene_473	K24943
gene_474	K24942
gene_475	K24941
gene_476	K24940
gene_477	K24939
gene_478	K24938
gene_479	K24937
gene_480	K24936
gene_481	K24935
gene_482	K24934
gene_483	K24933
gene_484	K24932
gene_485	K24931
gene_486	K24930
gene_487	K24929
gene_488	K24928
gene_489	K24927
gene_490	K24926
gene_491	K24925
gene_492	K24924
gene_493	K24923
gene_494	K24922
gene_495	K24921
gene_496	K24920
gene_497	K24919
gene_498	K24918
gene_499	K24917
gene_500	K24916
gene_501	K24915
gene_502	K24914
gene_503	K24913
gene_504	K24912
gene_505	K24911
gene_506	K24910
gene_507	K24909
gene_508	K24908
gene_509	K24907
gene_510	K24906
gene_511	K24905
gene_512	K24904
gene_513	K24903
gene_514	K24902
gene_515	K24901
gene_516	K24900
gene_517	K24899
gene_518	K24898
gene_519	K24897
gene_520	K24896
gene_521	K24895
gene_522	K24894
gene_523	K24893
gene_524	K24892
gene_525	K24891
gene_526	K24890
gene_527	K24889
gene_528	K24888
gene_529	K24887
gene_530	K24886
gene_531	K24885
gene_532	K24884
gene_533	K24883
gene_534	K24882
gene_535	K24881
gene_536	K24880
gene_537	K24879
gene_538	K24878
gene_539	K24877
gene_540	K24876
gene_541	K24875
gene_542	K24874
gene_543	K24873
gene_544	K24872
gene_545	K24871
gene_546	K24870
gene_547	K24869
gene_548	K24868
gene_549	K24867
gene_550	K24866
gene_551	K24865
gene_552	K24864
gene_553	K24863
gene_554	K24862
gene_555	K24861
gene_556	K24860
gene_557	K24859
gene_558	K24858
gene_559	K24857
gene_560	K24856
gene_561	K24855
gene_562	K24854
gene_563	K24853
gene_564	K24852
gene_565	K24851
gene_566	K24850
gene_567	K24849
gene_568	K24848
gene_569	K24847
gene_570	K24846
gene_571	K24845
gene_572	K24844
gene_573	K24843
gene_574	K24842
gene_575	K24841
gene_576	K24840
gene_577	K24839
gene_578	K24838
gene_579	K24837
gene_580	K24836
gene_581	K24835
gene_582	K24834
gene_583	K24833
gene_584	K24832
gene_585	K24831
gene_586	K24830
gene_587	K24829
gene_588	K24828
gene_589	K24827
gene_590	K24826
gene_591	K24825
gene_592	K24824
gene_593	K24823
gene_594	K24822
gene_595	K24821
gene_596	K24820
gene_597	K24819
gene_598	K24818
gene_599	K24817
gene_600	K24816
gene_601	K24815
gene_602	K24814
gene_603	K24813
gene_604	K24812
gene_605	K24811
gene_606	K24810
gene_607	K24809
gene_608	K24808
gene_609	K24807
gene_610	K24806
gene_611	K24805
gene_612	K24804
gene_613	K24803
gene_614	K24802
gene_615	K24801
gene_616	K24800
gene_617	K24799
gene_618	K24798
gene_619	K24797
gene_620	K24796
gene_621	K24795
gene_622	K24794
gene_623	K24793
gene_624	K24792
gene_625	K24791
gene_626	K24790
gene_627	K24789
gene_628	K24788
gene_629	K24787
gene_630	K24786
gene_631	K24785
gene_632	K24784
gene_633	K24783
gene_634	K24782
gene_635	K24781
gene_636	K24780
gene_637	K24779
gene_638	K24778
gene_639	K24777
gene_640	K24776
gene_641	K24775
gene_642	K24774
gene_643	K24773
gene_644	K24772
gene_645	K24771
gene_646	K24770
gene_647	K24769
gene_648	K24768
gene_649	K24767
gene_650	K24766
gene_651	K24765
gene_652	K24764
gene_653	K24763
gene_654	K24762
gene_655	K24761
gene_656	K24760
gene_657	K24759
gene_658	K24758
gene_659	K24757
gene_660	K24756
gene_661	K24755
gene_662	K24754
gene_663	K24753
gene_664	K24752
gene_665	K24751
gene_666	K24750
gene_667	K24749
gene_668	K24748
gene_669	K24747
gene_670	K24746
gene_671	K24745
gene_672	K24744
gene_673	K24743
gene_674	K24742
gene_675	K24741
gene_676	K24740
gene_677	K24739
gene_678	K24738
gene_679	K24737
gene_680	K24736
gene_681	K24735
gene_682	K24734
gene_683	K24733
gene_684	K24732
gene_685	K24731
gene_686	K24730
gene_687	K24729
gene_688	K24728
gene_689	K24727
gene_690	K24726
gene_691	K24725
gene_692	K24724
gene_693	K24723
gene_694	K24722
gene_695	K24721
gene_696	K24720
gene_697	K24719
gene_698	K24718
gene_699	K24717
gene_700	K24716
gene_701	K24715
gene_702	K24714
gene_703	K24713
gene_704	K24712
gene_705	K24711
gene_706	K24710
gene_707	K24709
gene_708	K24708
gene_709	K24707
gene_710	K24706
gene_711	K24705
gene_712	K24704
gene_713	K24703
gene_714	K24702
gene_715	K24701
gene_716	K24700
gene_717	K24699
gene_718	K24698
gene_719	K24697
gene_720	K24696
gene_721	K24695
gene_722	K24694
gene_723	K24693
gene_724	K24692
gene_725	K24691
gene_726	K24690
gene_727	K24689
gene_728	K24688
gene_729	K24687
gene_730	K24686
gene_731	K24685
gene_732	K24684
gene_733	K24683
gene_734	K24682
gene_735	K24681
gene_736	K24680
gene_737	K24679
gene_738	K24678
gene_739	K24677
gene_740	K24676
gene_741	K24675
gene_742	K24674
gene_743	K24673
gene_744	K24672
gene_745	K24671
gene_746	K24670
gene_747	K24669
gene_748	K24668
gene_749	K24667
gene_750	K24666
gene_751	K24665
gene_752	K24664
gene_753	K24663
gene_754	K24662
gene_755	K24661
gene_756	K24660
gene_757	K24659
gene_758	K24658
gene_759	K24657
gene_760	K24656
gene_761	K24655
gene_762	K24654
gene_763	K24653
gene_764	K24652
gene_765	K24651
gene_766	K24650
gene_767	K24649
gene_768	K24648
gene_769	K24647
gene_770	K24646
gene_771	K24645
gene_772	K24644
gene_773	K24643
gene_774	K24642
gene_775	K24641
gene_776	K24640
gene_777	K24639
gene_778	K24638
gene_779	K24637
gene_780	K24636
gene_781	K24635
gene_782	K24634
gene_783	K24633
gene_784	K24632
gene_785	K24631
gene_786	K24630
gene_787	K24629
gene_788	K24628
gene_789	K24627
gene_790	K24626
gene_791	K24625
gene_792	K24624
gene_793	K24623
gene_794	K24622
gene_795	K24621
gene_796	K24620
gene_797	K24619
gene_798	K24618
gene_799	K24617
gene_800	K24616
gene_801	K24615
gene_802	K24614
gene_803	K24613
gene_804	K24612
gene_805	K24611
gene_806	K24610
gene_807	K24609
gene_808	K24608
gene_809	K24607
gene_810	K24606
gene_811	K24605
gene_812	K24604
gene_813	K24603
gene_814	K24602
gene_815	K24601
gene_816	K24600
gene_817	K24599
gene_818	K24598
gene_819	K24597
gene_820	K24596
gene_821	K24595
gene_822	K24594
gene_823	K24593
gene_824	K24592
gene_825	K24591
gene_826	K24590
gene_827	K24589
gene_828	K24588
gene_829	K24587
gene_830	K24586
gene_831	K24585
gene_832	K24584
gene_833	K24583
gene_834	K24582
gene_835	K24581
gene_836	K24580
gene_837	K24579
gene_838	K24578
gene_839	K24577
gene_840	K24576
gene_841	K24575
gene_842	K24574
gene_843	K24573
gene_844	K24572
gene_845	K24571
gene_846	K24570
gene_847	K24569
gene_848	K24568
gene_849	K24567
gene_850	K24566
gene_851	K24565
gene_852	K24564
gene_853	K24563
gene_854	K24562
gene_855	K24561
gene_856	K24560
gene_857	K24559
gene_858	K24558
gene_859	K24557
gene_860	K24556
gene_861	K24555
gene_862	K24554
gene_863	K24553
gene_864	K24552
gene_865	K24551
gene_866	K24550
gene_867	K24549
gene_868	K24548
gene_869	K24547
gene_870	K24546
gene_871	K24545
gene_872	K24544
gene_873	K24543
gene_874	K24542
gene_875	K24541
gene_876	K24540
gene_877	K24539
gene_878	K24538
gene_879	K24537
gene_880	K24536
gene_881	K24535
gene_882	K24534
gene_883	K24533
gene_884	K24532
gene_885	K24531
gene_886	K24530
gene_887	K24529
gene_888	K24528
gene_889	K24527
gene_890	K24526
gene_891	K24525
gene_892	K24524
gene_893	K24523
gene_894	K24522
gene_895	K24521
gene_896	K24520
gene_897	K24519
gene_898	K24518
gene_899	K24517
gene_900	K24516
gene_901	K24515
gene_902	K24514
gene_903	K24513
gene_904	K24512
gene_905	K24511
gene_906	K24510
gene_907	K24509
gene_908	K24508
gene_909	K24507
gene_910	K24506
gene_911	K24505
gene_912	K24504
gene_913	K24503
gene_914	K24502
gene_915	K24501
gene_916	K24500
gene_917	K24499
gene_918	K24498
gene_919	K24497
gene_920	K24496
gene_921	K24495
gene_922	K24494
gene_923	K24493
gene_924	K24492
gene_925	K24491
gene_926	K24490
gene_927	K24489
gene_928	K24488
gene_929	K24487
gene_930	K24486
gene_931	K24485
gene_932	K24484
gene_933	K24483
gene_934	K24482
gene_935	K24481
gene_936	K24480
gene_937	K24479
gene_938	K24478
gene_939	K24477
gene_940	K24476
gene_941	K24475
gene_942	K24474
gene_943	K24473
gene_944	K24472
gene_945	K24471
gene_946	K24470
gene_947	K24469
gene_948	K24468
gene_949	K24467
gene_950	K24466
gene_951	K24465
gene_952	K24464
gene_953	K24463
gene_954	K24462
gene_955	K24461
gene_956	K24460
gene_957	K24459
gene_958	K24458
gene_959	K24457
gene_960	K24456
gene_961	K24455
gene_962	K24454
gene_963	K24453
gene_964	K24452
gene_965	K24451
gene_966	K24450
gene_967	K24449
gene_968	K24448
gene_969	K24447
gene_970	K24446
gene_971	K24445
gene_972	K24444
gene_973	K24443
gene_974	K24442
gene_975	K24441
gene_976	K24440
gene_977	K24439
gene_978	K24438
gene_979	K24437
gene_980	K24436
gene_981	K24435
gene_982	K24434
gene_983	K24433
gene_984	K24432
gene_985	K24431
gene_986	K24430
gene_987	K24429
gene_988	K24428
gene_989	K24427
gene_990	K24426
gene_991	K24425
gene_992	K24424
gene_993	K24423
gene_994	K24422
gene_995	K24421
gene_996	K24420
gene_997	K24419
gene_998	K24418
gene_999	K24417
gene_1000	K24416
gene_1001	K24415
gene_1002	K24414
gene_1003	K24413
gene_1004	K24412
gene_1005	K24411
gene_1006	K24410
gene_1007	K24409
gene_1008	K24408
gene_1009	K24407
gene_1010	K24406
gene_1011	K24405
gene_1012	K24404
gene_1013	K24403
gene_1014	K24402
gene_1015	K24401
gene_1016	K24400
gene_1017	K24399
gene_1018	K24398
gene_1019	K24397
gene_1020	K24396
gene_1021	K24395
gene_1022	K24394
gene_1023	K24393
gene_1024	K24392
gene_1025	K24391
gene_1026	K24390
gene_1027	K24389
gene_1028	K24388
gene_1029	K24387
gene_1030	K24386
gene_1031	K24385
gene_1032	K24384
gene_1033	K24383
gene_1034	K24382
gene_1035	K24381
gene_1036	K24380
gene_1037	K24379
gene_1038	K24378
gene_1039	K24377
gene_1040	K24376
gene_1041	K24375
gene_1042	K24374
gene_1043	K24373
gene_1044	K24372
gene_1045	K24371
gene_1046	K24370
gene_1047	K24369
gene_1048	K24368
gene_1049	K24367
gene_1050	K24366
gene_1051	K24365
gene_1052	K24364
gene_1053	K24363
gene_1054	K24362
gene_1055	K24361
gene_1056	K24360
gene_1057	K24359
gene_1058	K24358
gene_1059	K24357
gene_1060	K24356
gene_1061	K24355
gene_1062	K24354
gene_1063	K24353
gene_1064	K24352
gene_1065	K24351
gene_1066	K24350
gene_1067	K24349
gene_1068	K24348
gene_1069	K24347
gene_1070	K24346
gene_1071	K24345
gene_1072	K24344
gene_1073	K24343
gene_1074	K24342
gene_1075	K24341
gene_1076	K24340
gene_1077	K24339
gene_1078	K24338
gene_1079	K24337
gene_1080	K24336
gene_1081	K24335
gene_1082	K24334
gene_1083	K24333
gene_1084	K24332
gene_1085	K24331
gene_1086	K24330
gene_1087	K24329
gene_1088	K24328
gene_1089	K24327
gene_1090	K24326
gene_1091	K24325
gene_1092	K24324
gene_1093	K24323
gene_1094	K24322
gene_1095	K24321
gene_1096	K24320
gene_1097	K24319
gene_1098	K24318
gene_1099	K24317
gene_1100	K24316
gene_1101	K24315
gene_1102	K24314
gene_1103	K24313
gene_1104	K24312
gene_1105	K24311
gene_1106	K24310
gene_1107	K24309
gene_1108	K24308
gene_1109	K24307
gene_1110	K24306
gene_1111	K24305
gene_1112	K24304
gene_1113	K24303
gene_1114	K24302
gene_1115	K24301
gene_1116	K24300
gene_1117	K24299
gene_1118	K24298
gene_1119	K24297
gene_1120	K24296
gene_1121	K24295
gene_1122	K24294
gene_1123	K24293
gene_1124	K24292
gene_1125	K24291
gene_1126	K24290
gene_1127	K24289
gene_1128	K24288
gene_1129	K24287
gene_1130	K24286
gene_1131	K24285
gene_1132	K24284
gene_1133	K24283
gene_1134	K24282
gene_1135	K24281
gene_1136	K24280
gene_1137	K24279
gene_1138	K24278
gene_1139	K24277
gene_1140	K24276
gene_1141	K24275
gene_1142	K24274
gene_1143	K24273
gene_1144	K24272
gene_1145	K24271
gene_1146	K24270
gene_1147	K24269
gene_1148	K24268
gene_1149	K24267
gene_1150	K24266
gene_1151	K24265
gene_1152	K24264
gene_1153	K24263
gene_1154	K24262
gene_1155	K24261
gene_1156	K24260
gene_1157	K24259
gene_1158	K24258
gene_1159	K24257
gene_1160	K24256
gene_1161	K24255
gene_1162	K24254
gene_1163	K24253
gene_1164	K24252
gene_1165	K24251
gene_1166	K24250
gene_1167	K24249
gene_1168	K24248
gene_1169	K24247
gene_1170	K24246
gene_1171	K24245
gene_1172	K24244
gene_1173	K24243
gene_1174	K24242
gene_1175	K24241
gene_1176	K24240
gene_1177	K24239
gene_1178	K24238
gene_1179	K24237
gene_1180	K24236
gene_1181	K24235
gene_1182	K24234
gene_1183	K24233
gene_1184	K24232
gene_1185	K24231
gene_1186	K24230
gene_1187	K24229
gene_1188	K24228
gene_1189	K24227
gene_1190	K24226
gene_1191	K24225
gene_1192	K24224
gene_1193	K24223
gene_1194	K24222
gene_1195	K24221
gene_1196	K24220
gene_1197	K24219
gene_1198	K24218
gene_1199	K24217
gene_1200	K24216
gene_1201	K24215
gene_1202	K24214
gene_1203	K24213
gene_1204	K24212
gene_1205	K24211
gene_1206	K24210
gene_1207	K24209
gene_1208	K24208
gene_1209	K24207
gene_1210	K24206
gene_1211	K24205
gene_1212	K24204
gene_1213	K24203
gene_1214	K24202
gene_1215	K24201
gene_1216	K24200
gene_1217	K24199
gene_1218	K24198
gene_1219	K24197
gene_1220	K24196
gene_1221	K24195
gene_1222	K24194
gene_1223	K24193
gene_1224	K24192
gene_1225	K24191
gene_1226	K24190
gene_1227	K24189
gene_1228	K24188
gene_1229	K24187
gene_1230	K24186
gene_1231	K24185
gene_1232	K24184
gene_1233	K24183
gene_1234	K24182
gene_1235	K24181
gene_1236	K24180
gene_1237	K24179
gene_1238	K24178
gene_1239	K24177
gene_1240	K24176
gene_1241	K24175
gene_1242	K24174
gene_1243	K24173
gene_1244	K24172
gene_1245	K24171
gene_1246	K24170
gene_1247	K24169
gene_1248	K24168
gene_1249	K24167
gene_1250	K24166
gene_1251	K24165
gene_1252	K24164
gene_1253	K24163
gene_1254	K24162
gene_1255	K24161
gene_1256	K24160
gene_1257	K24159
gene_1258	K24158
gene_1259	K24157
gene_1260	K24156
gene_1261	K24155
gene_1262	K24154
gene_1263	K24153
gene_1264	K24152
gene_1265	K24151
gene_1266	K24150
gene_1267	K24149
gene_1268	K24148
gene_1269	K24147
gene_1270	K24146
gene_1271	K24145
gene_1272	K24144
gene_1273	K24143
gene_1274	K24142
gene_1275	K24141
gene_1276	K24140
gene_1277	K24139
gene_1278	K24138
gene_1279	K24137
gene_1280	K24136
gene_1281	K24135
gene_1282	K24134
gene_1283	K24133
gene_1284	K24132
gene_1285	K24131
gene_1286	K24130
gene_1287	K24129
gene_1288	K24128
gene_1289	K24127
gene_1290	K24126
gene_1291	K24125
gene_1292	K24124
gene_1293	K24123
gene_1294	K24122
gene_1295	K24121
gene_1296	K24120
gene_1297	K24119
gene_1298	K24118
gene_1299	K24117
gene_1300	K24116
gene_1301	K24115
gene_1302	K24114
gene_1303	K24113
gene_1304	K24112
gene_1305	K24111
gene_1306	K24110
gene_1307	K24109
gene_1308	K24108
gene_1309	K24107
gene_1310	K24106
gene_1311	K24105
gene_1312	K24104
gene_1313	K24103
gene_1314	K24102
gene_1315	K24101
gene_1316	K24100
gene_1317	K24099
gene_1318	K24098
gene_1319	K24097
gene_1320	K24096
gene_1321	K24095
gene_1322	K24094
gene_1323	K24093
gene_1324	K24092
gene_1325	K24091
gene_1326	K24090
gene_1327	K24089
gene_1328	K24088
gene_1329	K24087
gene_1330	K24086
gene_1331	K24085
gene_1332	K24084
gene_1333	K24083
gene_1334	K24082
gene_1335	K24081
gene_1336	K24080
gene_1337	K24079
gene_1338	K24078
gene_1339	K24077
gene_1340	K24076
gene_1341	K24075
gene_1342	K24074
gene_1343	K24073
gene_1344	K24072
gene_1345	K24071
gene_1346	K24070
gene_1347	K24069
gene_1348	K24068
gene_1349	K24067
gene_1350	K24066
gene_1351	K24065
gene_1352	K24064
gene_1353	K24063
gene_1354	K24062
gene_1355	K24061
gene_1356	K24060
gene_1357	K24059
gene_1358	K24058
gene_1359	K24057
gene_1360	K24056
gene_1361	K24055
gene_1362	K24054
gene_1363	K24053
gene_1364	K24052
gene_1365	K24051
gene_1366	K24050
gene_1367	K24049
gene_1368	K24048
gene_1369	K24047
gene_1370	K24046
gene_1371	K24045
gene_1372	K24044
gene_1373	K24043
gene_1374	K24042
gene_1375	K24041
gene_1376	K24040
gene_1377	K24039
gene_1378	K24038
gene_1379	K24037
gene_1380	K24036
gene_1381	K24035
gene_1382	K24034
gene_1383	K24033
gene_1384	K24032
gene_1385	K24031
gene_1386	K24030
gene_1387	K24029
gene_1388	K24028
gene_1389	K24027
gene_1390	K24026
gene_1391	K24025
gene_1392	K24024
gene_1393	K24023
gene_1394	K24022
gene_1395	K24021
gene_1396	K24020
gene_1397	K24019
gene_1398	K24018
gene_1399	K24017
gene_1400	K24016
gene_1401	K24015
gene_1402	K24014
gene_1403	K24013
gene_1404	K24012
gene_1405	K24011
gene_1406	K24010
gene_1407	K24009
gene_1408	K24008
gene_1409	K24007
gene_1410	K24006
gene_1411	K24005
gene_1412	K24004
gene_1413	K24003
gene_1414	K24002
gene_1415	K24001
gene_1416	K24000
gene_1417	K23999
gene_1418	K23998
gene_1419	K23997
gene_1420	K23996
gene_1421	K23995
gene_1422	K23994
gene_1423	K23993
gene_1424	K23992
gene_1425	K23991
gene_1426	K23990
gene_1427	K23989
gene_1428	K23988
gene_1429	K23987
gene_1430	K23986
gene_1431	K23985
gene_1432	K23984
gene_1433	K23983
gene_1434	K23982
gene_1435	K23981
gene_1436	K23980
gene_1437	K23979
gene_1438	K23978
gene_1439	K23977
gene_1440	K23976
gene_1441	K23975
gene_1442	K23974
gene_1443	K23973
gene_1444	K23972
gene_1445	K23971
gene_1446	K23970
gene_1447	K23969
gene_1448	K23968
gene_1449	K23967
gene_1450	K23966
gene_1451	K23965
gene_1452	K23964
gene_1453	K23963
gene_1454	K23962
gene_1455	K23961
gene_1456	K23960
gene_1457	K23959
gene_1458	K23958
gene_1459	K23957
gene_1460	K23956
gene_1461	K23955
gene_1462	K23954
gene_1463	K23953
gene_1464	K23952
gene_1465	K23951
gene_1466	K23950
gene_1467	K23949
gene_1468	K23948
gene_1469	K23947
gene_1470	K23946
gene_1471	K23945
gene_1472	K23944
gene_1473	K23943
gene_1474	K23942
gene_1475	K23941
gene_1476	K23940
gene_1477	K23939
gene_1478	K23938
gene_1479	K23937
gene_1480	K23936
gene_1481	K23935
gene_1482	K23934
gene_1483	K23933
gene_1484	K23932
gene_1485	K23931
gene_1486	K23930
gene_1487	K23929
gene_1488	K23928
gene_1489	K23927
gene_1490	K23926
gene_1491	K23925
gene_1492	K23924
gene_1493	K23923
gene_1494	K23922
gene_1495	K23921
gene_1496	K23920
gene_1497	K23919
gene_1498	K23918
