HighestModule	HigherModule	Module	KO
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K04041
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K11532
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K11645
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K15633
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K15634
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K15635
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00161
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00162
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00163
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00169
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00170
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00171
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00172
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00189
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00382
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K00627
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K03737
Carbohydrate metabolism	Central carbohydrate metabolism	M00307 Pyruvate oxidation, pyruvate => acetyl-CoA (12)  (complete 1/1)	K13997
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00024
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00025
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00026
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00030
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00031
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00116
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00164
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00174
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00175
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00176
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00177
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00234
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00235
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00236
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00237
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00239
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00240
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00241
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00242
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00244
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00245
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00246
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00247
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00382
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K00658
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01616
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01647
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01676
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01677
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01678
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01679
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01681
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01682
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01899
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01900
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01902
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K01903
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K05942
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K18118
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K18859
Carbohydrate metabolism	Central carbohydrate metabolism	M00009 Citrate cycle (TCA cycle, Krebs cycle) (41)  (complete 8/8)	K18860
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K00030
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K00031
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K01647
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K01681
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K01682
Carbohydrate metabolism	Central carbohydrate metabolism	M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (6)  (complete 3/3)	K05942
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00024
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00025
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00026
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00116
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00164
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00174
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00175
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00176
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00177
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00234
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00235
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00236
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00237
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00239
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00240
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00241
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00242
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00244
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00245
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00246
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00247
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00382
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K00658
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01616
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01676
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01677
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01678
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01679
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01899
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01900
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01902
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K01903
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K18118
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K18859
Carbohydrate metabolism	Central carbohydrate metabolism	M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (35)  (complete 5/5)	K18860
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K00033
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K00036
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K00615
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K00616
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K01057
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K01783
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K01807
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K01808
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K01810
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K06859
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K07404
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K13810
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K13937
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K15916
Carbohydrate metabolism	Central carbohydrate metabolism	M00004 Pentose phosphate pathway (Pentose phosphate cycle) (15)  (complete 7/7)	K19243
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K00033
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K00036
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K01057
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K07404
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K13937
Carbohydrate metabolism	Central carbohydrate metabolism	M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (6)  (complete 2/2)	K19243
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K00615
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K00616
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K01783
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K01807
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K01808
Carbohydrate metabolism	Central carbohydrate metabolism	M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  (complete 4/4)	K13810
Carbohydrate metabolism	Central carbohydrate metabolism	M00580 Pentose phosphate pathway, archaea, fructose 6P => ribose 5P (5)  (complete 2/2)	K01807
Carbohydrate metabolism	Central carbohydrate metabolism	M00580 Pentose phosphate pathway, archaea, fructose 6P => ribose 5P (5)  (complete 2/2)	K08093
Carbohydrate metabolism	Central carbohydrate metabolism	M00580 Pentose phosphate pathway, archaea, fructose 6P => ribose 5P (5)  (complete 2/2)	K08094
Carbohydrate metabolism	Central carbohydrate metabolism	M00580 Pentose phosphate pathway, archaea, fructose 6P => ribose 5P (5)  (complete 2/2)	K13812
Carbohydrate metabolism	Central carbohydrate metabolism	M00580 Pentose phosphate pathway, archaea, fructose 6P => ribose 5P (5)  (complete 2/2)	K13831
